Step,Body,PosX,PosY,VelX,VelY
86000,0,0,0,0,0
86000,1,-0.712761,0.0304226,-1.48307,-35.311
86000,2,-0.138584,-0.98901,29.5295,-4.1344
86000,3,0.658215,5.16287,-12.9517,1.66456
86000,4,18.8238,3.88232,-1.37349,6.6602
87000,0,0,0,0,0
87000,1,-0.683931,-0.202987,10.0302,-33.8884
87000,2,0.0602475,-0.996844,29.7635,1.79841
87000,3,0.571551,5.17327,-12.9776,1.44712
87000,4,18.8146,3.92683,-1.38923,6.65693
88000,0,0,0,0,0
88000,1,-0.581112,-0.414439,20.4506,-28.8029
88000,2,0.256689,-0.965127,28.8167,7.65982
88000,3,0.484726,5.18222,-12.9998,1.22929
88000,4,18.8052,3.97132,-1.40496,6.65364
89000,0,0,0,0,0
89000,1,-0.41551,-0.581125,28.6434,-20.6199
89000,2,0.442947,-0.895119,26.7268,13.2169
89000,3,0.397765,5.1897,-13.0184,1.01113
89000,4,18.7958,4.01578,-1.42068,6.6503
90000,0,0,0,0,0
90000,1,-0.205127,-0.685203,33.7298,-10.2443
90000,2,0.611634,-0.789602,23.577,18.2488
90000,3,0.310692,5.19573,-13.0333,0.792689
90000,4,18.7862,4.06022,-1.4364,6.64693
91000,0,0,0,0,0
91000,1,0.0272964,-0.715716,35.1825,1.18931
91000,2,0.756063,-0.652768,19.493,22.5559
91000,3,0.223531,5.2003,-13.0445,0.57404
91000,4,18.7766,4.10464,-1.45211,6.64352
92000,0,0,0,0,0
92000,1,0.256819,-0.669694,32.8749,12.4486
92000,2,0.870514,-0.49005,14.6374,25.9676
92000,3,0.136308,5.20341,-13.0521,0.355239
92000,4,18.7668,4.14904,-1.4678,6.64007
93000,0,0,0,0,0
93000,1,0.459009,-0.552351,27.0827,22.3397
93000,2,0.950459,-0.307906,9.20319,28.3491
93000,3,0.0490464,5.20505,-13.056,0.136351
93000,4,18.7569,4.19341,-1.4835,6.63659
94000,0,0,0,0,0
94000,1,0.612519,-0.376403,18.4422,29.8305
94000,2,0.992743,-0.113559,3.40639,29.6065
94000,3,-0.038229,5.20523,-13.0562,-0.0825651
94000,4,18.747,4.23776,-1.49918,6.63307
95000,0,0,0,0,0
95000,1,0.701257,-0.160637,7.87561,34.1508
95000,2,0.995703,0.0852866,-2.52309,29.691
95000,3,-0.125494,5.20395,-13.0528,-0.301447
95000,4,18.7369,4.28209,-1.51485,6.62951
96000,0,0,0,0,0
96000,1,0.715984,0.0720905,-3.50705,34.8625
96000,2,0.959239,0.280757,-8.35036,28.6001
96000,3,-0.212723,5.2012,-13.0456,-0.520232
96000,4,18.7267,4.32639,-1.53052,6.62591
97000,0,0,0,0,0
97000,1,0.655201,0.297218,-14.5187,31.8968
97000,2,0.88481,0.465117,-13.845,26.3779
97000,3,-0.299892,5.19699,-13.0349,-0.73886
97000,4,18.7164,4.37067,-1.54617,6.62228
98000,0,0,0,0,0
98000,1,0.525281,0.490978,-24.0105,25.5588
98000,2,0.775373,0.631077,-18.7899,23.1132
98000,3,-0.386978,5.19132,-13.0204,-0.95727
98000,4,18.7061,4.41493,-1.56182,6.61861
99000,0,0,0,0,0
99000,1,0.339836,0.632828,-30.9832,16.4998
99000,2,0.635269,0.772081,-22.9902,18.9356
99000,3,-0.473954,5.18419,-13.0023,-1.1754
99000,4,18.6956,4.45916,-1.57746,6.61491
100000,0,0,0,0,0
100000,1,0.118373,0.707577,-34.6882,5.65808
100000,2,0.470048,0.88256,-26.2804,14.0108
100000,3,-0.560797,5.17561,-12.9806,-1.39319
100000,4,18.685,4.50336,-1.59309,6.61116
101000,0,0,0,0,0
101000,1,-0.115671,0.707026,-34.7087,-5.82921
101000,2,0.286247,0.958158,-28.5311,8.53353
101000,3,-0.647483,5.16557,-12.9552,-1.61057
101000,4,18.6743,4.54754,-1.60871,6.60738
102000,0,0,0,0,0
102000,1,-0.337338,0.630936,-31.0134,-16.7391
102000,2,0.0911328,0.995895,-29.654,2.7201
102000,3,-0.733987,5.15408,-12.9261,-1.82749
102000,4,18.6635,4.5917,-1.62432,6.60356
103000,0,0,0,0,0
103000,1,-0.522802,0.487171,-23.971,-25.8914
103000,2,-0.107583,0.994285,-29.6051,-3.20002
103000,3,-0.820284,5.14114,-12.8935,-2.04389
103000,4,18.6526,4.63582,-1.63993,6.59971
104000,0,0,0,0,0
104000,1,-0.651976,0.290972,-14.3225,-32.281
104000,2,-0.302048,0.953397,-28.3867,-8.99334
104000,3,-0.906351,5.12676,-12.8572,-2.2597
104000,4,18.6415,4.67993,-1.65552,6.59582
105000,0,0,0,0,0
105000,1,-0.710772,0.0633765,-3.10634,-35.1967
105000,2,-0.484582,0.874846,-26.0468,-14.4314
